Date;Time;Timestamp;PM2_5(ug/m3);AQI(US);AQI(CN);PM10(ug/m3);Outdoor AQI(US);Outdoor AQI(CN);Temperature(C);Temperature(F);Humidity(%RH);CO2(ppm);VOC(ppb)
2017/03/01;00:02:40;1488326560;7.0;29;10;7.0;0;0;25.1;77.1;53;606;-1
2017/03/01;00:17:50;1488327470;7.0;29;10;7.0;154;83;25.0;77.1;51;614;-1
2017/03/01;00:33:00;1488328380;4.0;17;6;4.0;154;83;24.9;76.9;51;619;-1
2017/03/01;00:48:10;1488329290;4.0;17;6;4.0;154;83;24.9;76.9;57;618;-1
2017/03/01;01:03:20;1488330200;4.0;17;6;4.0;0;0;24.9;76.8;54;623;-1
2017/03/01;01:18:30;1488331110;4.0;17;6;4.0;155;86;24.8;76.6;53;617;-1
2017/03/01;01:18:46;1488331126;4.0;17;6;4.0;155;86;24.8;76.6;53;618;-1
2017/03/01;01:18:56;1488331136;4.0;17;6;4.0;155;86;24.8;76.6;53;618;-1
2017/03/01;01:19:06;1488331146;5.0;21;7;5.0;155;86;24.8;76.6;54;618;-1
2017/03/01;01:34:17;1488332057;4.0;17;6;4.0;155;86;24.8;76.6;51;619;-1
2017/03/01;01:49:27;1488332967;3.0;13;4;3.0;155;86;24.7;76.5;57;613;-1
2017/03/01;02:04:37;1488333877;4.0;17;6;4.0;0;0;24.7;76.4;55;608;-1
2017/03/01;02:19:47;1488334787;5.0;21;7;5.0;0;0;24.6;76.3;51;596;-1
2017/03/01;02:34:57;1488335697;4.0;17;6;4.0;0;0;24.6;76.2;56;591;-1
2017/03/01;02:50:07;1488336607;6.0;25;9;6.0;0;0;24.5;76.1;53;581;-1
2017/03/01;03:05:17;1488337517;5.0;21;7;5.0;0;0;24.5;76.0;56;576;-1
2017/03/01;03:20:27;1488338427;5.0;21;7;5.0;0;0;24.4;75.9;53;567;-1
2017/03/01;03:35:37;1488339337;5.0;21;7;5.0;0;0;24.4;75.8;56;566;-1
2017/03/01;03:50:47;1488340247;4.0;17;6;4.0;0;0;24.3;75.7;53;558;-1
2017/03/01;04:05:57;1488341157;5.0;21;7;5.0;0;0;24.2;75.6;56;561;-1
2017/03/01;04:21:07;1488342067;5.0;21;7;5.0;0;0;24.1;75.4;52;550;-1
2017/03/01;04:36:17;1488342977;4.0;17;6;4.0;0;0;24.1;75.4;56;544;-1
2017/03/01;04:51:27;1488343887;5.0;21;7;5.0;0;0;24.1;75.3;54;542;-1
2017/03/01;05:06:37;1488344797;5.0;21;7;5.0;0;0;24.0;75.2;54;542;-1
2017/03/01;05:21:47;1488345707;5.0;21;7;5.0;0;0;23.9;75.1;56;545;-1
2017/03/01;05:36:57;1488346617;4.0;17;6;4.0;0;0;23.9;75.1;56;545;-1
2017/03/01;05:52:07;1488347527;5.0;21;7;5.0;0;0;23.9;75.1;52;538;-1
2017/03/01;06:07:17;1488348437;6.0;25;9;6.0;0;0;23.9;74.9;53;539;-1
2017/03/01;06:22:27;1488349347;5.0;21;7;5.0;0;0;23.8;74.9;55;544;-1
2017/03/01;06:33:04;1488349984;3.0;13;4;3.0;0;0;23.8;74.9;53;557;-1
2017/03/01;06:33:14;1488349994;5.0;21;7;5.0;0;0;23.8;74.9;53;561;-1
2017/03/01;06:33:24;1488350004;5.0;21;7;5.0;0;0;23.8;74.9;54;571;-1
2017/03/01;06:33:34;1488350014;5.0;21;7;5.0;0;0;23.8;74.9;54;584;-1
2017/03/01;06:45:10;1488350710;4.0;17;6;4.0;0;0;23.9;75.0;54;605;-1
2017/03/01;06:45:20;1488350720;5.0;21;7;5.0;0;0;23.9;75.0;54;605;-1
2017/03/01;06:45:30;1488350730;4.0;17;6;4.0;0;0;23.8;74.9;54;604;-1
2017/03/01;06:45:40;1488350740;4.0;17;6;4.0;0;0;23.8;74.9;54;604;-1
2017/03/01;06:45:50;1488350750;4.0;17;6;4.0;0;0;23.8;74.9;54;601;-1
2017/03/01;06:46:00;1488350760;3.0;13;4;3.0;0;0;23.8;74.9;54;598;-1
2017/03/01;06:46:10;1488350770;5.0;21;7;5.0;0;0;23.8;74.9;54;596;-1
2017/03/01;06:46:20;1488350780;5.0;21;7;5.0;0;0;23.8;74.9;54;592;-1
2017/03/01;06:46:30;1488350790;6.0;25;9;6.0;0;0;23.8;74.9;54;591;-1
2017/03/01;06:46:40;1488350800;5.0;21;7;5.0;0;0;23.8;74.9;54;589;-1
2017/03/01;06:46:50;1488350810;5.0;21;7;5.0;0;0;23.8;74.9;54;587;-1
2017/03/01;06:47:00;1488350820;5.0;21;7;5.0;0;0;23.8;74.9;54;584;-1
2017/03/01;06:47:10;1488350830;4.0;17;6;4.0;0;0;23.8;74.9;54;582;-1
2017/03/01;06:47:20;1488350840;4.0;17;6;4.0;0;0;23.8;74.9;54;580;-1
2017/03/01;06:47:30;1488350850;5.0;21;7;5.0;0;0;23.9;75.0;54;578;-1
2017/03/01;06:47:40;1488350860;5.0;21;7;5.0;0;0;23.9;75.0;54;576;-1
2017/03/01;06:47:50;1488350870;5.0;21;7;5.0;0;0;23.9;75.0;54;574;-1
2017/03/01;06:48:00;1488350880;4.0;17;6;4.0;0;0;23.9;75.0;54;570;-1
2017/03/01;06:48:10;1488350890;4.0;17;6;4.0;0;0;23.9;75.0;54;569;-1
2017/03/01;06:48:20;1488350900;4.0;17;6;4.0;0;0;23.9;75.0;54;568;-1
2017/03/01;06:48:30;1488350910;5.0;21;7;5.0;0;0;23.9;75.0;54;566;-1
2017/03/01;06:48:40;1488350920;4.0;17;6;4.0;0;0;23.9;75.0;54;566;-1
2017/03/01;06:48:50;1488350930;5.0;21;7;5.0;0;0;23.9;75.0;54;565;-1
2017/03/01;06:49:00;1488350940;5.0;21;7;5.0;0;0;23.9;75.1;54;565;-1
2017/03/01;06:49:10;1488350950;5.0;21;7;5.0;0;0;23.9;75.1;54;562;-1
2017/03/01;06:49:20;1488350960;5.0;21;7;5.0;0;0;23.9;75.1;54;561;-1
2017/03/01;06:49:30;1488350970;5.0;21;7;5.0;0;0;23.9;75.1;54;561;-1
2017/03/01;06:49:40;1488350980;5.0;21;7;5.0;0;0;23.9;75.1;54;560;-1
2017/03/01;06:49:50;1488350990;5.0;21;7;5.0;0;0;23.9;75.1;54;557;-1
2017/03/01;06:50:00;1488351000;5.0;21;7;5.0;0;0;24.0;75.2;54;555;-1
2017/03/01;06:50:10;1488351010;5.0;21;7;5.0;0;0;24.0;75.2;54;553;-1
2017/03/01;06:50:20;1488351020;5.0;21;7;5.0;0;0;24.0;75.2;54;552;-1
2017/03/01;06:50:30;1488351030;5.0;21;7;5.0;0;0;24.0;75.3;54;551;-1
2017/03/01;06:50:40;1488351040;5.0;21;7;5.0;0;0;24.0;75.3;54;550;-1
2017/03/01;06:50:50;1488351050;5.0;21;7;5.0;0;0;24.0;75.3;54;548;-1
2017/03/01;06:51:00;1488351060;5.0;21;7;5.0;0;0;24.1;75.3;54;548;-1
2017/03/01;06:51:10;1488351070;5.0;21;7;5.0;0;0;24.1;75.3;54;547;-1
2017/03/01;06:51:20;1488351080;6.0;25;9;6.0;0;0;24.1;75.3;54;545;-1
2017/03/01;06:51:30;1488351090;5.0;21;7;5.0;0;0;24.1;75.4;54;543;-1
2017/03/01;06:51:40;1488351100;6.0;25;9;6.0;0;0;24.1;75.4;54;541;-1
2017/03/01;06:51:50;1488351110;6.0;25;9;6.0;0;0;24.1;75.4;54;540;-1
2017/03/01;06:52:00;1488351120;6.0;25;9;6.0;0;0;24.2;75.5;54;539;-1
2017/03/01;06:52:10;1488351130;6.0;25;9;6.0;0;0;24.2;75.5;54;538;-1
2017/03/01;06:52:20;1488351140;6.0;25;9;6.0;0;0;24.2;75.5;54;537;-1
2017/03/01;06:52:30;1488351150;5.0;21;7;5.0;0;0;24.2;75.5;54;537;-1
2017/03/01;06:52:40;1488351160;5.0;21;7;5.0;0;0;24.2;75.5;54;535;-1
2017/03/01;06:52:50;1488351170;5.0;21;7;5.0;0;0;24.2;75.5;54;535;-1
2017/03/01;06:53:00;1488351180;6.0;25;9;6.0;0;0;24.2;75.6;54;534;-1
2017/03/01;06:53:10;1488351190;5.0;21;7;5.0;0;0;24.2;75.6;54;533;-1
2017/03/01;06:53:20;1488351200;6.0;25;9;6.0;0;0;24.2;75.6;54;533;-1
2017/03/01;06:53:30;1488351210;6.0;25;9;6.0;0;0;24.2;75.6;54;533;-1
2017/03/01;06:53:40;1488351220;6.0;25;9;6.0;0;0;24.2;75.6;54;531;-1
2017/03/01;06:53:50;1488351230;5.0;21;7;5.0;0;0;24.2;75.6;54;530;-1
2017/03/01;06:54:00;1488351240;5.0;21;7;5.0;0;0;24.3;75.7;54;530;-1
2017/03/01;06:54:10;1488351250;5.0;21;7;5.0;0;0;24.3;75.7;54;531;-1
2017/03/01;06:54:20;1488351260;5.0;21;7;5.0;0;0;24.3;75.7;54;530;-1
2017/03/01;06:54:30;1488351270;5.0;21;7;5.0;0;0;24.3;75.8;54;531;-1
2017/03/01;06:54:40;1488351280;5.0;21;7;5.0;0;0;24.3;75.8;54;530;-1
2017/03/01;06:54:50;1488351290;5.0;21;7;5.0;0;0;24.3;75.8;54;530;-1
2017/03/01;06:59:23;1488351563;7.0;29;10;7.0;0;0;24.5;76.1;54;522;-1
2017/03/01;06:59:33;1488351573;7.0;29;10;7.0;0;0;24.5;76.1;54;524;-1
2017/03/01;06:59:43;1488351583;6.0;25;9;6.0;0;0;24.5;76.1;53;525;-1
2017/03/01;06:59:53;1488351593;5.0;21;7;6.0;0;0;24.5;76.1;53;529;-1
2017/03/01;07:00:03;1488351603;5.0;21;7;6.0;0;0;24.5;76.1;53;530;-1
2017/03/01;07:00:13;1488351613;5.0;21;7;5.0;0;0;24.5;76.1;53;533;-1
2017/03/01;07:00:23;1488351623;5.0;21;7;5.0;0;0;24.5;76.1;53;533;-1
2017/03/01;07:00:33;1488351633;5.0;21;7;5.0;0;0;24.5;76.1;53;532;-1
2017/03/01;07:00:43;1488351643;6.0;25;9;6.0;0;0;24.5;76.2;53;531;-1
2017/03/01;07:00:53;1488351653;6.0;25;9;6.0;0;0;24.5;76.2;53;531;-1
2017/03/01;07:01:03;1488351663;6.0;25;9;7.0;0;0;24.5;76.2;53;530;-1
2017/03/01;07:01:13;1488351673;6.0;25;9;6.0;0;0;24.6;76.2;53;530;-1
2017/03/01;07:01:23;1488351683;6.0;25;9;6.0;0;0;24.6;76.2;53;529;-1
2017/03/01;07:01:33;1488351693;6.0;25;9;6.0;0;0;24.6;76.2;53;529;-1
2017/03/01;07:01:43;1488351703;5.0;21;7;5.0;0;0;24.6;76.2;53;528;-1
2017/03/01;07:01:53;1488351713;5.0;21;7;5.0;0;0;24.6;76.2;53;527;-1
2017/03/01;07:02:03;1488351723;6.0;25;9;6.0;0;0;24.6;76.2;53;527;-1
