Date;Time;Timestamp;PM2_5(ug/m3);AQI(US);AQI(CN);PM10(ug/m3);Outdoor AQI(US);Outdoor AQI(CN);Temperature(C);Temperature(F);Humidity(%RH);CO2(ppm);VOC(ppb)
2017/05/01;00:03:03;1493596983;26.0;80;37;29.0;0;0;27.4;81.3;65;418;-1
2017/05/01;00:18:13;1493597893;23.0;74;33;26.0;0;0;27.3;81.2;65;415;-1
2017/05/01;00:33:23;1493598803;26.0;80;37;30.0;0;0;27.1;80.8;65;416;-1
2017/05/01;00:48:33;1493599713;23.0;74;33;26.0;0;0;27.0;80.5;65;415;-1
2017/05/01;01:03:43;1493600623;22.0;72;31;24.0;0;0;26.8;80.2;66;418;-1
2017/05/01;01:18:53;1493601533;21.0;70;30;24.0;0;0;26.8;80.2;66;418;-1
2017/05/01;01:34:03;1493602443;25.0;78;36;29.0;0;0;26.7;80.1;66;418;-1
2017/05/01;01:49:13;1493603353;26.0;80;37;30.0;0;0;26.6;79.8;66;422;-1
2017/05/01;02:04:23;1493604263;24.0;76;34;25.0;0;0;26.6;79.9;66;416;-1
2017/05/01;02:19:33;1493605173;24.0;76;34;26.0;0;0;26.4;79.5;65;414;-1
2017/05/01;02:34:43;1493606083;22.0;72;31;26.0;0;0;26.5;79.8;66;413;-1
2017/05/01;02:49:53;1493606993;23.0;74;33;26.0;0;0;26.6;79.9;66;414;-1
2017/05/01;03:05:03;1493607903;22.0;72;31;25.0;0;0;26.5;79.6;67;421;-1
2017/05/01;03:20:13;1493608813;23.0;74;33;26.0;0;0;26.5;79.8;67;414;-1
2017/05/01;03:35:23;1493609723;23.0;74;33;24.0;0;0;26.6;80.0;68;427;-1
2017/05/01;03:50:30;1493610630;31.0;91;44;36.0;0;0;26.5;79.8;70;453;-1
2017/05/01;04:05:40;1493611540;28.0;84;40;32.0;0;0;26.6;79.9;69;463;-1
2017/05/01;04:20:50;1493612450;31.0;91;44;34.0;0;0;26.1;79.0;72;481;-1
2017/05/01;04:36:00;1493613360;28.0;84;40;31.0;0;0;26.2;79.2;71;488;-1
2017/05/01;04:51:10;1493614270;28.0;84;40;30.0;0;0;26.2;79.2;72;507;-1
2017/05/01;05:06:20;1493615180;26.0;80;37;30.0;0;0;26.2;79.1;73;509;-1
2017/05/01;05:21:30;1493616090;29.0;87;41;34.0;0;0;26.2;79.2;75;506;-1
2017/05/01;05:36:40;1493617000;31.0;91;44;33.0;0;0;25.9;78.7;74;519;-1
2017/05/01;05:51:50;1493617910;31.0;91;44;34.0;0;0;26.1;79.0;74;520;-1
2017/05/01;06:07:00;1493618820;29.0;87;41;32.0;0;0;25.8;78.5;77;515;-1
